Sample_ID,Data_type,Mother_plant_ID,Temperature_type,Temperature_treatment,Soil_type,Soil_moisture_treatment,Soil_microbial_origin,Plant_population_origin,Sympatry,Number_of_seeds_planted,Number_of_emerged_seedlings,Date,Measurement_time_point,Plant_age_days,Leaf_number,Leaf_length_cm,Leaf_width_cm,Rosette_shape_flat/high,Leaf_allometry,Leaf_size,Leaf_area,AMF_colonisation_percent,Leaves_freshweight_g,Leaves_dryweight_g,Roots_dryweight_g,Root_shoot_ratio,Total_biomass_g
181,fungi,Coast_P01,High, 25C,Low, 10%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,50,2.297,0.569,0.1172,0.205975395,0.6862
182,fungi,Coast_P01,High, 25C,Low, 10%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,26,2.788,0.71,0.1525,0.214788732,0.8625
183,fungi,Coast_P07,High, 25C,Low, 10%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,52,1.525,0.567,0.1403,0.247442681,0.7073
184,fungi,Coast_P10,High, 25C,Low, 10%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,fungi,Forest_P10,High, 25C,Low, 10%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,38,2.111,0.773,0.291,0.376455369,1.064
186,fungi,Forest_P12,High, 25C,Low, 10%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,49,1.323,0.478,0.1804,0.377405858,0.6584
187,fungi,Forest_P3,High, 25C,Low, 10%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,67,1.991,0.564,0.1407,0.249468085,0.7047
188,fungi,Forest_P4,High, 25C,Low, 10%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,fungi,Meadow_P05,High, 25C,Low, 10%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,50,2.186,0.51,0.1346,0.263921569,0.6446
190,fungi,Meadow_P07,High, 25C,Low, 10%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,48,2.058,0.672,0.1912,0.28452381,0.8632
191,fungi,Meadow_P07,High, 25C,Low, 10%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,fungi,Meadow_P08,High, 25C,Low, 10%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,33,1.799,0.577,0.1881,0.325996534,0.7651
241,fungi,Coast_P09,Low, 15C,High, 40%watervol,Coast,Coast,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,13,2.626,0.449,0.2649,0.589977728,0.7139
242,fungi,Coast_P10,Low, 15C,High, 40%watervol,Coast,Coast,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,fungi,Coast_P10,Low, 15C,High, 40%watervol,Coast,Coast,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,29,1.311,0.183,0.0705,0.385245902,0.2535
244,fungi,Coast_P23,Low, 15C,High, 40%watervol,Coast,Coast,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,54,0.342,0.045,0.0119,0.264444444,0.0569
245,fungi,Forest_P10,Low, 15C,High, 40%watervol,Coast,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,fungi,Forest_P11,Low, 15C,High, 40%watervol,Coast,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,13,0.384,0.048,0.0098,0.204166667,0.0578
247,fungi,Forest_P12,Low, 15C,High, 40%watervol,Coast,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,fungi,Forest_P12,Low, 15C,High, 40%watervol,Coast,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,9,1.293,0.177,0.0648,0.366101695,0.2418
249,fungi,Meadow_P01,Low, 15C,High, 40%watervol,Coast,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,20,0.345,0.057,0.0198,0.347368421,0.0768
250,fungi,Meadow_P05,Low, 15C,High, 40%watervol,Coast,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,7,2.931,0.403,0.1414,0.350868486,0.5444
251,fungi,Meadow_P06,Low, 15C,High, 40%watervol,Coast,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,fungi,Meadow_P08,Low, 15C,High, 40%watervol,Coast,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,fungi,Coast_P01,Low, 15C,High, 40%watervol,Forest,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,14,1.298,0.373,0.1656,0.443967828,0.5386
266,fungi,Coast_P09,Low, 15C,High, 40%watervol,Forest,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,12,1.243,0.151,0.0396,0.262251656,0.1906
267,fungi,Coast_P10,Low, 15C,High, 40%watervol,Forest,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,2,1.243,0.164,0.0291,0.177439024,0.1931
268,fungi,Coast_P21,Low, 15C,High, 40%watervol,Forest,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,3,2.507,0.383,0.1443,0.376762402,0.5273
269,fungi,Forest_P15,Low, 15C,High, 40%watervol,Forest,Forest,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,10,2.205,0.29,0.1597,0.550689655,0.4497
270,fungi,Forest_P3,Low, 15C,High, 40%watervol,Forest,Forest,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,6,1.831,0.295,0.1572,0.532881356,0.4522
271,fungi,Forest_P3,Low, 15C,High, 40%watervol,Forest,Forest,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,8,2.798,0.341,0.1141,0.334604106,0.4551
272,fungi,Forest_P3,Low, 15C,High, 40%watervol,Forest,Forest,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,7,1.062,0.136,0.0673,0.494852941,0.2033
273,fungi,Meadow_P01,Low, 15C,High, 40%watervol,Forest,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,18,3.792,0.422,0.1814,0.42985782,0.6034
274,fungi,Meadow_P07,Low, 15C,High, 40%watervol,Forest,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,fungi,Meadow_P07,Low, 15C,High, 40%watervol,Forest,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,24,2.925,0.401,0.1561,0.389276808,0.5571
276,fungi,Meadow_P07,Low, 15C,High, 40%watervol,Forest,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,fungi,Coast_P07,Low, 15C,High, 40%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,41,2.442,0.385,0.1546,0.401558442,0.5396
278,fungi,Coast_P09,Low, 15C,High, 40%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,23,1.946,0.284,0.118,0.415492958,0.402
279,fungi,Coast_P10,Low, 15C,High, 40%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,48,1.138,0.169,0.0597,0.353254438,0.2287
280,fungi,Coast_P10,Low, 15C,High, 40%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,31,2.287,0.315,0.1074,0.340952381,0.4224
281,fungi,Forest_P10,Low, 15C,High, 40%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,fungi,Forest_P10,Low, 15C,High, 40%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,fungi,Forest_P10,Low, 15C,High, 40%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,31,1.842,0.212,0.0622,0.293396226,0.2742
284,fungi,Forest_P3,Low, 15C,High, 40%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,12,0.554,0.074,0.0153,0.206756757,0.0893
285,fungi,Meadow_P05,Low, 15C,High, 40%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,4,1.431,0.202,0.0757,0.374752475,0.2777
286,fungi,Meadow_P05,Low, 15C,High, 40%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,37,1.715,0.195,0.0526,0.26974359,0.2476
287,fungi,Meadow_P06,Low, 15C,High, 40%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,41,1.522,0.195,0.0702,0.36,0.2652
288,fungi,Meadow_P06,Low, 15C,High, 40%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,36,2.073,0.263,0.1023,0.388973384,0.3653
337,fungi,Coast_P07,Low, 15C,Low, 10%watervol,Coast,Coast,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,21,1.903,0.336,0.1603,0.477083333,0.4963
338,fungi,Coast_P21,Low, 15C,Low, 10%watervol,Coast,Coast,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,fungi,Coast_P21,Low, 15C,Low, 10%watervol,Coast,Coast,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,54,1.022,0.139,0.0419,0.301438849,0.1809
340,fungi,Coast_P21,Low, 15C,Low, 10%watervol,Coast,Coast,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,9,1.398,0.259,0.0894,0.345173745,0.3484
341,fungi,Forest_P10,Low, 15C,Low, 10%watervol,Coast,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,fungi,Forest_P11,Low, 15C,Low, 10%watervol,Coast,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,0,0.52,0.106,0.0616,0.581132075,0.1676
343,fungi,Forest_P12,Low, 15C,Low, 10%watervol,Coast,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,14,1.48,0.216,0.1146,0.530555556,0.3306
344,fungi,Forest_P4,Low, 15C,Low, 10%watervol,Coast,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,5,2.326,0.308,0.1701,0.552272727,0.4781
345,fungi,Meadow_P01,Low, 15C,Low, 10%watervol,Coast,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,fungi,Meadow_P01,Low, 15C,Low, 10%watervol,Coast,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,33,1.449,0.18,0.0656,0.364444444,0.2456
347,fungi,Meadow_P06,Low, 15C,Low, 10%watervol,Coast,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,6,1.604,0.253,0.1493,0.590118577,0.4023
348,fungi,Meadow_P06,Low, 15C,Low, 10%watervol,Coast,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,12,1.272,0.183,0.0571,0.312021858,0.2401
361,fungi,Coast_P07,Low, 15C,Low, 10%watervol,Forest,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,3,1.629,0.253,0.1615,0.638339921,0.4145
362,fungi,Coast_P09,Low, 15C,Low, 10%watervol,Forest,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,6,0.986,0.183,0.0878,0.479781421,0.2708
363,fungi,Coast_P10,Low, 15C,Low, 10%watervol,Forest,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,28,1.061,0.175,0.0774,0.442285714,0.2524
364,fungi,Coast_P21,Low, 15C,Low, 10%watervol,Forest,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,35,2.202,0.416,0.1697,0.407932692,0.5857
365,fungi,Forest_P12,Low, 15C,Low, 10%watervol,Forest,Forest,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,6,2.05,0.277,0.1121,0.404693141,0.3891
366,fungi,Forest_P11,Low, 15C,Low, 10%watervol,Forest,Forest,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,22,0.729,0.101,0.0413,0.408910891,0.1423
367,fungi,Forest_P15,Low, 15C,Low, 10%watervol,Forest,Forest,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,28,1.388,0.21,0.0578,0.275238095,0.2678
368,fungi,Forest_P15,Low, 15C,Low, 10%watervol,Forest,Forest,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,fungi,Meadow_P01,Low, 15C,Low, 10%watervol,Forest,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,4,1.675,0.247,0.1223,0.4951417,0.3693
370,fungi,Meadow_P06,Low, 15C,Low, 10%watervol,Forest,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,20,1.995,0.315,0.1524,0.483809524,0.4674
371,fungi,Meadow_P06,Low, 15C,Low, 10%watervol,Forest,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,fungi,Meadow_P07,Low, 15C,Low, 10%watervol,Forest,Meadow,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,14,1.766,0.265,0.1433,0.540754717,0.4083
373,fungi,Coast_P07,Low, 15C,Low, 10%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,17,1.009,0.235,0.1534,0.652765957,0.3884
374,fungi,Coast_P07,Low, 15C,Low, 10%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,42,0.82,0.146,0.0415,0.284246575,0.1875
375,fungi,Coast_P10,Low, 15C,Low, 10%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,18,1.58,0.253,0.184,0.727272727,0.437
376,fungi,Coast_P21,Low, 15C,Low, 10%watervol,Meadow,Coast,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,24,1.282,0.21,0.0739,0.351904762,0.2839
377,fungi,Forest_P12,Low, 15C,Low, 10%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,5,1.825,0.267,0.1475,0.552434457,0.4145
378,fungi,Forest_P12,Low, 15C,Low, 10%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,19,0.82,0.099,0.027,0.272727273,0.126
379,fungi,Forest_P12,Low, 15C,Low, 10%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,H,NA,NA,NA,69,0.917,0.127,0.0325,0.255905512,0.1595
380,fungi,Forest_P15,Low, 15C,Low, 10%watervol,Meadow,Forest,Non-local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,26,1.208,0.229,0.117,0.510917031,0.346
381,fungi,Meadow_P03,Low, 15C,Low, 10%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,6,1.619,0.283,0.1663,0.587632509,0.4493
382,fungi,Meadow_P03,Low, 15C,Low, 10%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,31,1.093,0.152,0.058,0.381578947,0.21
383,fungi,Meadow_P06,Low, 15C,Low, 10%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,fungi,Meadow_P08,Low, 15C,Low, 10%watervol,Meadow,Meadow,Local,NA,NA,30-03-2016,6,80,NA,NA,NA,F,NA,NA,NA,44,1.268,0.154,0.0548,0.355844156,0.2088
